"","subject","flanked","freq","sens","sensconfi_low","sensconfi_high","threshold","threshconfi_low","threshconfi_high","distortion","log_freq"
"68","AM","flanked",3,4.68246,1.07028,2.374417,0.213563,0.071857,0.063278,"RF",1.09861228866811
"69","AM","flanked",4,5.705794,1.479008,2.975934,0.17526,0.060076,0.061326,"RF",1.38629436111989
"70","AM","flanked",5,6.514375,1.195611,2.166918,0.153507,0.038316,0.034507,"RF",1.6094379124341
"71","AM","flanked",8,7.870276,1.670753,2.982237,0.12706,0.034916,0.034242,"RF",2.07944154167984
"72","AM","flanked",12,12.800954,3.342225,5.704271,0.078119,0.02408,0.027603,"RF",2.484906649788
"73","MF","unflanked",2,5.490395,1.052559,1.971949,0.182136,0.04813,0.043199,"RF",0.693147180559945
"74","MF","unflanked",3,8.489004,1.574186,2.304789,0.117799,0.025154,0.026818,"RF",1.09861228866811
"75","MF","unflanked",4,8.064156,1.488947,2.192991,0.124006,0.026513,0.028081,"RF",1.38629436111989
"76","MF","unflanked",5,10.821719,2.411593,4.708965,0.092407,0.028018,0.026498,"RF",1.6094379124341
"77","MF","unflanked",8,18.383706,4.084838,7.136746,0.054396,0.015212,0.01554,"RF",2.07944154167984
"78","MF","unflanked",12,14.480099,4.578021,9.481472,0.06906,0.027327,0.031929,"RF",2.484906649788
"79","MF","flanked",2,3.466423,0.642624,0.879861,0.288482,0.0584,0.065651,"RF",0.693147180559945
"80","MF","flanked",3,3.578543,0.789697,1.277875,0.279443,0.07353,0.079128,"RF",1.09861228866811
"81","MF","flanked",4,5.55425,1.187596,1.632248,0.180042,0.040892,0.048966,"RF",1.38629436111989
"82","MF","flanked",5,4.586989,0.588017,0.998204,0.218008,0.038963,0.032056,"RF",1.6094379124341
"83","MF","flanked",8,7.24178,1.726198,3.353605,0.138088,0.043707,0.043217,"RF",2.07944154167984
"84","MF","flanked",12,13.810795,3.878703,10.477968,0.072407,0.031236,0.028277,"RF",2.484906649788
"85","RM","unflanked",2,8.157818,1.681856,3.65058,0.122582,0.037896,0.031835,"RF",0.693147180559945
"86","RM","unflanked",3,8.86845,1.218331,1.647731,0.112759,0.017668,0.017958,"RF",1.09861228866811
