"","subject","session","trial","flanked","distortion","freq","amplitude","spacing","im_name","targ_letter","targ_pos","response","eyemovement","RT","experiment","correct"
"49","TW",1,9," flanked","RF",4,0.275,2," flanked_rf_freq_4_amplitude_0.275_rep_4_l_D_2.0.png"," D"," l"," l"," n.a.",0.3430264,"a",1
"50","TW",1,9," flanked","BPN",4,2,2," flanked_bex_freq_4_amplitude_2_rep_8_r_K_2.0.png"," K"," r"," t"," n.a.",0.2888883,"a",0
"51","TW",1,9," flanked","RF",4,0.275,2," flanked_rf_freq_4_amplitude_0.275_rep_0_r_N_2.0.png"," N"," r"," r"," n.a.",0.4481447,"a",1
"52","TW",1,9," flanked","BPN",4,4,2," flanked_bex_freq_4_amplitude_4_rep_1_t_K_2.0.png"," K"," t"," l"," n.a.",0.4301575,"a",0
"53","TW",1,9," flanked","RF",4,0.05,2," flanked_rf_freq_4_amplitude_0.05_rep_5_t_H_2.0.png"," H"," t"," b"," n.a.",0.1957455,"a",0
"54","TW",1,9," flanked","BPN",4,6,2," flanked_bex_freq_4_amplitude_6_rep_7_b_D_2.0.png"," D"," b"," b"," n.a.",0.7633,"a",1
"55","TW",1,10," flanked","RF",4,0.05,2," flanked_rf_freq_4_amplitude_0.05_rep_0_l_D_2.0.png"," D"," l"," l"," n.a.",0.6213682,"a",1
"56","TW",1,10," flanked","BPN",4,2,2," flanked_bex_freq_4_amplitude_2_rep_1_l_D_2.0.png"," D"," l"," r"," n.a.",0.2594119,"a",0
"57","TW",1,10," flanked","RF",4,0.125,2," flanked_rf_freq_4_amplitude_0.125_rep_4_l_K_2.0.png"," K"," l"," l"," n.a.",0.4547169,"a",1
"58","TW",1,10," flanked","BPN",4,3,2," flanked_bex_freq_4_amplitude_3_rep_4_l_D_2.0.png"," D"," l"," t"," n.a.",0.4096252,"a",0
"59","TW",1,10," flanked","RF",4,0.275,2," flanked_rf_freq_4_amplitude_0.275_rep_1_r_D_2.0.png"," D"," r"," t"," n.a.",0.5227854,"a",0
"60","TW",1,10," flanked","BPN",4,5,2," flanked_bex_freq_4_amplitude_5_rep_8_b_H_2.0.png"," H"," b"," r"," n.a.",0.7057872,"a",0
"61","TW",1,11," flanked","RF",4,0.05,2," flanked_rf_freq_4_amplitude_0.05_rep_8_l_N_2.0.png"," N"," l"," r"," n.a.",0.3355872,"a",0
"62","TW",1,11," flanked","BPN",4,3,2," flanked_bex_freq_4_amplitude_3_rep_6_t_N_2.0.png"," N"," t"," b"," n.a.",0.2574852,"a",0
"63","TW",1,11," flanked","RF",4,0.125,2," flanked_rf_freq_4_amplitude_0.125_rep_2_r_H_2.0.png"," H"," r"," t"," n.a.",0.4235251,"a",0
"64","TW",1,11," flanked","BPN",4,6,2," flanked_bex_freq_4_amplitude_6_rep_0_r_N_2.0.png"," N"," r"," r"," n.a.",0.3566703,"a",1
"65","TW",1,11," flanked","RF",4,0.35,2," flanked_rf_freq_4_amplitude_0.35_rep_0_t_H_2.0.png"," H"," t"," r"," n.a.",0.3143093,"a",0
"66","TW",1,11," flanked","BPN",4,3,2," flanked_bex_freq_4_amplitude_3_rep_3_l_N_2.0.png"," N"," l"," l"," n.a.",0.6388597,"a",1
"67","TW",1,12," flanked","RF",4,0.2,2," flanked_rf_freq_4_amplitude_0.2_rep_6_b_H_2.0.png"," H"," b"," b"," n.a.",0.2989545,"a",1
"68","TW",1,12," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_9_t_D_2.0.png"," D"," t"," l"," n.a.",0.1805471,"a",0
"69","TW",1,12," flanked","RF",4,0.05,2," flanked_rf_freq_4_amplitude_0.05_rep_9_l_D_2.0.png"," D"," l"," l"," n.a.",0.3904436,"a",1
"70","TW",1,12," flanked","BPN",4,6,2," flanked_bex_freq_4_amplitude_6_rep_9_b_D_2.0.png"," D"," b"," b"," n.a.",0.5377377,"a",1
"71","TW",1,12," flanked","RF",4,0.125,2," flanked_rf_freq_4_amplitude_0.125_rep_6_r_N_2.0.png"," N"," r"," b"," n.a.",0.3693138,"a",0
"72","TW",1,12," flanked","BPN",4,7,2," flanked_bex_freq_4_amplitude_7_rep_7_l_K_2.0.png"," K"," l"," b"," n.a.",0.6096962,"a",0
"73","TW",1,13," flanked","RF",4,0.05,2," flanked_rf_freq_4_amplitude_0.05_rep_1_t_D_2.0.png"," D"," t"," l"," n.a.",0.3525739,"a",0
"74","TW",1,13," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_0_b_D_2.0.png"," D"," b"," b"," n.a.",0.2666269,"a",1
"75","TW",1,13," flanked","RF",4,0.275,2," flanked_rf_freq_4_amplitude_0.275_rep_2_l_D_2.0.png"," D"," l"," r"," n.a.",0.4637678,"a",0
"76","TW",1,13," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_8_r_N_2.0.png"," N"," r"," l"," n.a.",0.4359844,"a",0
"77","TW",1,13," flanked","RF",4,0.2,2," flanked_rf_freq_4_amplitude_0.2_rep_6_b_D_2.0.png"," D"," b"," b"," n.a.",0.2679835,"a",1
"78","TW",1,13," flanked","BPN",4,6,2," flanked_bex_freq_4_amplitude_6_rep_8_t_D_2.0.png"," D"," t"," t"," n.a.",0.4482983,"a",1
"79","TW",1,14," flanked","RF",4,0.2,2," flanked_rf_freq_4_amplitude_0.2_rep_8_b_K_2.0.png"," K"," b"," b"," n.a.",0.3320349,"a",1
"80","TW",1,14," flanked","BPN",4,6,2," flanked_bex_freq_4_amplitude_6_rep_5_t_D_2.0.png"," D"," t"," t"," n.a.",0.393301,"a",1
"81","TW",1,14," flanked","RF",4,0.05,2," flanked_rf_freq_4_amplitude_0.05_rep_4_b_K_2.0.png"," K"," b"," b"," n.a.",0.3162719,"a",1
"82","TW",1,14," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_9_b_N_2.0.png"," N"," b"," l"," n.a.",0.4393443,"a",0
"83","TW",1,14," flanked","RF",4,0.425,2," flanked_rf_freq_4_amplitude_0.425_rep_0_b_H_2.0.png"," H"," b"," l"," n.a.",0.4151092,"a",0
