letter,flanked,distortion,freq,amplitude,rep,FC,SE
N,flanked,rf,4,0.0075,2,2.66280326429097,1.30789151911687
N,flanked,rf,4,0.0075,3,2.66232522619276,1.30648469769736
N,flanked,rf,4,0.0075,4,2.66172567896082,1.28202192578983
N,flanked,rf,4,0.165,0,2.66414946591677,1.26663875214685
N,flanked,rf,4,0.165,1,2.66218838277385,1.31917817493185
N,flanked,rf,4,0.165,2,2.65880580198548,1.26493178527662
N,flanked,rf,4,0.0617,2,2.66362332762634,1.26740118630581
N,flanked,rf,4,0.0617,6,2.66071166796283,1.28391319031746
N,flanked,rf,4,0.0617,9,2.66018418650571,1.31422757777625
N,flanked,rf,4,0.2167,2,2.66285940141402,1.2896974901598
N,flanked,rf,4,0.2167,6,2.66172204532316,1.31588325713768
N,flanked,rf,4,0.2683,3,2.66308689025997,1.29885899897263
N,flanked,rf,4,0.2683,6,2.66396505565246,1.28235138817318
N,flanked,rf,4,0.32,0,2.66220638711756,1.27643352715501
N,flanked,rf,4,0.32,5,2.66471768163361,1.28465053551519
N,flanked,rf,4,0.32,6,2.66189620901762,1.29096072387277
N,flanked,rf,4,0.32,8,2.66299215499023,1.28728864806392
N,flanked,rf,5,0.0075,3,2.66530500992978,1.31167426096422
N,flanked,rf,5,0.0075,6,2.66101115507955,1.28066073673608
N,flanked,rf,5,0.0075,8,2.65838780857419,1.35052495479212
N,flanked,rf,5,0.01,2,2.66307289120668,1.32527946319376
N,flanked,rf,5,0.01,4,2.66099603299526,1.30905565400764
N,flanked,rf,5,0.165,1,2.66177723941298,1.32608357119709
N,flanked,rf,5,0.165,6,2.662731225272,1.31272352708195
N,flanked,rf,5,0.165,7,2.6652543802499,1.28650671473991
N,flanked,rf,5,0.0617,3,2.66247638131696,1.30884830759088
N,flanked,rf,5,0.1133,1,2.66428215434024,1.32572513679359
N,flanked,rf,5,0.1133,2,2.66112938825679,1.29956983608387
N,flanked,rf,5,0.1133,9,2.65964868081905,1.28302896133093
N,flanked,rf,5,0.2167,3,2.66307087930279,1.28578349603283
N,flanked,rf,5,0.2167,8,2.66595602714499,1.32467783464404
N,flanked,rf,5,0.2683,0,2.66583764829837,1.27260041271064
N,flanked,rf,5,0.2683,4,2.6654304155162,1.29075201075546
N,flanked,rf,5,0.2683,6,2.65803865326681,1.32520489966995
N,flanked,rf,5,0.32,5,2.66172727456404,1.30444922152751
N,flanked,rf,5,0.32,6,2.66235576257827,1.2615600283693
N,flanked,rf,5,0.32,9,2.66754770652026,1.27262328382536
N,flanked,rf,8,0.0075,1,2.65993626619155,1.27545412698219
N,flanked,rf,8,0.0075,6,2.66452652732381,1.26293017475737
N,flanked,rf,8,0.01,1,2.65921899460288,1.29962798650273
N,flanked,rf,8,0.01,5,2.65983804807507,1.28028426171001
N,flanked,rf,8,0.01,6,2.65843244249173,1.29064752881152
N,flanked,rf,8,0.165,2,2.66408009521611,1.33968497212744
N,flanked,rf,8,0.0617,0,2.66231194362254,1.28341404237992
N,flanked,rf,8,0.0617,1,2.66352504687253,1.28877668756818
N,flanked,rf,8,0.0617,6,2.66444877693089,1.28025070389389
N,flanked,rf,8,0.1133,1,2.66474933594487,1.26685511036127
N,flanked,rf,8,0.1133,2,2.66275705899964,1.30195008135335
N,flanked,rf,8,0.2167,0,2.66655657281564,1.30235173082766
N,flanked,rf,8,0.2167,4,2.66481874873418,1.2755611315266
N,flanked,rf,8,0.2683,2,2.66175018800322,1.29291112739876
N,flanked,rf,8,0.2683,6,2.66389513076948,1.28153102126607
N,flanked,rf,8,0.2683,7,2.6684027189539,1.31168941687733
