letter,distortion,freq,amplitude,rep,n_dist_flanks,FC,SE
K,rf,4,0.125,3,2,2.65396827203156,1.28821979067443
K,rf,4,0.125,4,2,2.6515750823641,1.30754951551142
K,rf,4,0.125,5,2,2.6562211064148,1.299229567729
K,rf,4,0.125,6,2,2.65748125739351,1.28863008541644
K,rf,4,0.2,1,2,2.65687630001209,1.29356063609225
K,rf,4,0.2,8,2,2.65550995414866,1.28035051564421
K,rf,4,0.275,3,2,2.67402232536651,1.2593893247593
K,rf,4,0.275,4,2,2.66353344066115,1.26841104222225
K,rf,4,0.275,7,2,2.66777538212857,1.27738269766627
K,rf,4,0.35,1,2,2.66515127970174,1.27850035234654
K,rf,4,0.35,4,2,2.66094922117185,1.24237720310719
K,rf,4,0.425,3,2,2.68701584401267,1.26594210303257
K,rf,4,0.425,5,2,2.67122332966469,1.23698975536806
K,rf,4,0.425,9,2,2.68831753140598,1.24342842217445
K,bex,4,1,3,2,2.66193857094675,1.27286258295599
K,bex,4,1,5,2,2.65743817035667,1.31503228995918
K,bex,4,2,3,2,2.66384411978879,1.26812223885779
K,bex,4,3,3,2,2.65896750819928,1.35398915853722
K,bex,4,3,5,2,2.64932416950929,1.31496697509651
K,bex,4,3,6,2,2.65436323089677,1.26419805016317
K,bex,4,3,9,2,2.66807037813921,1.25132173488293
K,bex,4,4,1,2,2.65184428692013,1.30086015477133
K,bex,4,4,2,2,2.6525426812182,1.22512660188057
K,bex,4,4,4,2,2.65229445421302,1.28785261038261
K,bex,4,4,7,2,2.66555684990574,1.28322536790543
K,bex,4,5,0,2,2.6628830016206,1.24096655075578
K,bex,4,5,9,2,2.67180766878806,1.2898686545806
K,bex,4,6,3,2,2.68974112654703,1.23387045670583
K,bex,4,6,6,2,2.66074792723723,1.23552396424192
K,bex,4,7,1,2,2.67370401499232,1.23930211526947
K,bex,4,7,6,2,2.66984103617464,1.25113664922938
K,bex,4,7,7,2,2.68950091000446,1.25755138533119
K,bex,4,7,9,2,2.6834667693733,1.20401541331995
K,rf,4,0.05,2,4,2.64262871312856,1.29193024753543
K,rf,4,0.05,6,4,2.64750575465278,1.29672286232966
K,rf,4,0.125,1,4,2.64654832527194,1.25882302657146
K,rf,4,0.125,5,4,2.64416109802599,1.27697926349019
K,rf,4,0.125,8,4,2.64862661798657,1.29999550711392
K,rf,4,0.125,9,4,2.64860552093716,1.31857652676102
K,rf,4,0.2,1,4,2.65440167543665,1.34624592728136
K,rf,4,0.2,5,4,2.65051229058023,1.24199553777903
K,rf,4,0.275,0,4,2.65132675056908,1.30087497800895
K,rf,4,0.275,2,4,2.67528661923367,1.25221478869754
K,rf,4,0.275,6,4,2.65627812337588,1.22853716053663
K,rf,4,0.35,5,4,2.66284297913445,1.25416275992512
K,rf,4,0.35,7,4,2.66939011799417,1.22690949226077
K,rf,4,0.425,9,4,2.6931509998181,1.20274269374543
K,rf,4,0.5,3,4,2.70106742999919,1.2271939069951
K,rf,4,0.5,9,4,2.71552538151732,1.2183805213364
K,bex,4,1,8,4,2.65182392595602,1.29693534011217
K,bex,4,2,4,4,2.65275269539697,1.29845450760088
K,bex,4,3,0,4,2.66520192476296,1.2699752615015
K,bex,4,3,1,4,2.65947969222573,1.24354105211469
K,bex,4,3,9,4,2.6597288350093,1.2882631188111
K,bex,4,4,6,4,2.66920367794938,1.24921616458955
